Codes: K - kernel route, C - connected, L - local, S - static,
       R - RIPng, O - OSPFv3, I - IS-IS, B - BGP, N - NHRP,
       T - Table, v - VNC, V - VNC-Direct, A - Babel, F - PBR,
       f - OpenFabric, t - Table-Direct,
       > - selected route, * - FIB route, q - queued, r - rejected, b - backup
       t - trapped, o - offload failure

IPv6 unicast VRF default:
I>* fc00:1f:9::1/128 [115/30] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:00
S>* fc00:20::/43 [1/0] unreachable (blackhole), weight 1, 12:26:15
I>* fc00:20::1/128 [115/30] via fe80::6454:8fff:fe9c:6ce7, r30n0-r31n0, weight 1, 12:22:01
I>* fc00:20:0:1::/64 [115/40] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:00
I>* fc00:20:1::1/128 [115/40] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:00
I>* fc00:20:1:2::/64 [115/40] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:00
I>* fc00:20:2::1/128 [115/50] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:00
I>* fc00:20:2:3::/64 [115/50] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:00
I>* fc00:20:3::1/128 [115/60] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:05
I>* fc00:20:3:4::/64 [115/60] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:05
I>* fc00:20:4::1/128 [115/70] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:05
I>* fc00:20:4:5::/64 [115/70] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:05
I>* fc00:20:5::1/128 [115/80] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:05
  *                           via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:05
I>* fc00:20:5:6::/64 [115/70] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:05
I>* fc00:20:6::1/128 [115/70] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:05
I>* fc00:20:6:7::/64 [115/60] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:05
I>* fc00:20:7::1/128 [115/60] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:05
